trial_id,timestamp,model,game,game_name,motivation,prompt_variant,nash_action,nash_type,nash_note,parsed_action,is_valid,is_nash,tokens_used,api_error
8f763676,2026-06-27T01:02:05.535478,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,153,
fce26215,2026-06-27T01:02:07.680118,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
ea0a4708,2026-06-27T01:02:09.872357,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,153,
72f02309,2026-06-27T01:02:12.759715,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,149,
731d8e41,2026-06-27T01:02:15.919504,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,151,
ac277515,2026-06-27T01:02:18.075842,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
a53a9979,2026-06-27T01:02:21.106815,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,181,
5a6bfb4f,2026-06-27T01:02:23.284230,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
c8e1f6c1,2026-06-27T01:02:25.597773,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
17b99fa8,2026-06-27T01:02:27.594786,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,139,
0b29d60a,2026-06-27T01:02:29.804509,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,139,
172fb1f0,2026-06-27T01:02:32.105983,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
f406f04a,2026-06-27T01:02:34.318033,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,139,
6c8c6ea2,2026-06-27T01:02:36.388217,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,153,
f818c5bc,2026-06-27T01:02:38.476704,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
37844ad4,2026-06-27T01:02:40.582890,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
b0d76c83,2026-06-27T01:02:42.659068,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
18bc17a3,2026-06-27T01:02:44.716826,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
b2db1e1e,2026-06-27T01:02:46.735510,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
ff5ec8e6,2026-06-27T01:02:48.700557,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
9e7c3493,2026-06-27T01:02:50.856825,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,139,
6382e9d7,2026-06-27T01:02:52.842646,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,139,
09443da6,2026-06-27T01:02:54.802925,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
77b47985,2026-06-27T01:02:56.803502,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,139,
06bc48a8,2026-06-27T01:02:58.844088,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
64afa1a5,2026-06-27T01:03:00.824037,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,153,
511a2ef6,2026-06-27T01:03:02.852327,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
68bfcdb8,2026-06-27T01:03:04.950539,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,139,
b6ad068f,2026-06-27T01:03:07.031506,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,139,
b7c6e230,2026-06-27T01:03:09.040983,protected.Claude-Haiku-4.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
0af5821c,2026-06-27T01:03:12.510737,protected.Claude-Haiku-4.5,matching_pennies,Matching Pennies,real,0,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,137,
cbffc8c1,2026-06-27T01:03:15.358789,protected.Claude-Haiku-4.5,matching_pennies,Matching Pennies,real,2,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,166,
79b1c0fe,2026-06-27T01:03:18.119975,protected.Claude-Haiku-4.5,matching_pennies,Matching Pennies,real,1,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,144,
eec898bc,2026-06-27T01:03:20.136699,protected.Claude-Haiku-4.5,matching_pennies,Matching Pennies,real,0,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,125,
622afa3e,2026-06-27T01:03:22.167701,protected.Claude-Haiku-4.5,matching_pennies,Matching Pennies,real,2,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,154,
6f868f1a,2026-06-27T01:03:24.801715,protected.Claude-Haiku-4.5,matching_pennies,Matching Pennies,real,0,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,125,
