trial_id,model,thinking,family,game,game_name,motivation,game_category,has_think_block,think_length,output_length,parsed_action,nash_action,played_nash,nash_mentioned,nash_accepted,nash_rejected,dominant_mentioned,dominant_accepted,dominant_rejected,cooperate_mentioned,cooperate_accepted,cooperate_rejected,defect_mentioned,defect_accepted,defect_rejected,risk_mentioned,risk_accepted,risk_rejected,rational_mentioned,rational_accepted,rational_rejected,fairness_mentioned,fairness_accepted,fairness_rejected,opponent_mentioned,opponent_accepted,opponent_rejected,maximin_mentioned,maximin_accepted,maximin_rejected,payoff_mentioned,payoff_accepted,payoff_rejected,alignment_category
6862b9a9,Claude-Haiku-5.2,False,Claude,travelers_dilemma,Traveler's Dilemma,reasoning,pure_iesds,False,0,1650,A,['A'],True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,identifies_follows
80898bf5,Claude-Haiku-5.2,False,Claude,travelers_dilemma,Traveler's Dilemma,reasoning,pure_iesds,False,0,1650,A,['A'],True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,identifies_follows
b045ac59,Claude-Haiku-5.2,False,Claude,travelers_dilemma,Traveler's Dilemma,reasoning,pure_iesds,False,0,1769,A,['A'],True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,identifies_follows
890bdd58,Claude-Haiku-5.2,False,Claude,travelers_dilemma,Traveler's Dilemma,reasoning,pure_iesds,False,0,1518,A,['A'],True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,identifies_follows
39a20f9a,Claude-Haiku-5.2,False,Claude,travelers_dilemma,Traveler's Dilemma,reasoning,pure_iesds,False,0,1518,A,['A'],True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,identifies_follows
8ea3a080,Claude-Haiku-5.2,False,Claude,travelers_dilemma,Traveler's Dilemma,reasoning,pure_iesds,False,0,1954,A,['A'],True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,True,True,False,False,identifies_follows
86b25a38,Claude-Haiku-5.2,False,Claude,travelers_dilemma,Traveler's Dilemma,reasoning,pure_iesds,False,0,1954,A,['A'],True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,True,True,False,False,identifies_follows
1ecd918d,Claude-Haiku-5.2,False,Claude,travelers_dilemma,Traveler's Dilemma,reasoning,pure_iesds,False,0,1518,A,['A'],True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,identifies_follows
80fd8346,Claude-Haiku-5.2,False,Claude,travelers_dilemma,Traveler's Dilemma,reasoning,pure_iesds,False,0,1518,A,['A'],True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,identifies_follows
6abcd2dc,Claude-Haiku-5.2,False,Claude,travelers_dilemma,Traveler's Dilemma,reasoning,pure_iesds,False,0,1817,A,['A'],True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,identifies_follows
